0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,1
0,0
0,0
0,0
1,1
0,1
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,2
1,2
0,4
0,4
1,2
0,1
0,1
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,2
0,1
0,3
0,0
0,0
0,1
0,0
0,0
0,0
0,0
1,4
0,0
0,4
0,1
0,2
0,0
0,0
0,1
0,1
0,0
3,4
0,2
0,0
0,0
0,0
0,0
0,0
0,3
0,2
1,1
0,2
0,1
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,1
1,2
0,0
0,1
0,0
0,5
0,3
0,0
0,0
1,2
0,3
0,0
0,2
1,2
0,2
0,1
0,7
0,1
0,1
0,0
0,1
0,3
0,1
1,1
0,3
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,2
0,1
0,3
0,0
1,3
0,0
0,0
0,0
0,0
1,2
0,0
2,3
0,0
1,1
0,1
1,3
0,0
0,0
0,1
0,0
0,0
0,1
0,1
1,4
0,0
1,2
0,2
0,4
0,0
0,1
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
1,1
0,1
0,2
0,0
0,0
0,1
0,2
0,0
0,0
0,0
0,0
0,1
2,2
0,2
0,0
0,2
0,2
0,1
0,1
0,1
0,0
0,1
0,1
0,0
0,0
0,7
0,2
0,2
0,1
0,0
0,0
0,0
0,0
0,1
0,2
0,3
0,1
0,0
0,0
0,2
0,0
0,2
0,3
0,5
1,1
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,2
0,1
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
1,1
0,0
0,0
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
